RELATIONSHIPID	CONCEPTID1	RELATIONSHIPTYPE	CONCEPTID2	CHARACTERISTICTYPE	REFINABILITY	RELATIONSHIPGROUP
3249168021	420544002	363698007	39607008	0	1	1
69430029	250124002	116680003	364562001	0	0	0
2548932029	5880005	116680003	108217004	0	0	0
2834214026	223414004	116680003	363662004	0	0	0
2798931022	297129003	149016008	416471007	2	0	0
662138021	303405004	123005000	302549007	3	0	0
674654023	312533001	123005000	38266002	3	0	0
33150023	224528001	116680003	224527006	0	0	0
2938766027	172859007	116680003	371571005	0	0	0
2564724025	392155009	116680003	408766003	0	0	0
1456716027	212766001	246456000	288526004	1	2	0
2645732020	409023009	260870009	272125009	1	2	0
933571025	363229000	116676008	108369006	0	1	1
719799022	361982005	123005000	362683004	3	0	0
2726661025	415530009	363705008	414915002	0	1	0
1971387020	293304001	246075003	373708006	0	1	0
115548026	293453002	116680003	293416008	0	0	0
3102725026	110282008	263502005	288524001	1	2	0
1213000025	47125007	246112005	272141005	1	2	0
2793700021	4908009	408731000	410513005	0	1	0
831324025	63082002	123005000	362030008	3	0	0
177896023	361714009	116680003	127856007	0	0	0
1830102020	367640003	370124000	108369006	2	0	0
2683360024	301227004	116680003	301229001	0	0	0
3137406023	269105005	263502005	288524001	1	2	0
167528020	359989001	116680003	281905002	0	0	0
2646313021	410024004	260870009	272125009	1	2	0
239585023	56242006	116680003	30821001	0	0	0
2469967022	407674008	116680003	93432008	0	0	0
3059213021	274424003	363699004	23973005	0	1	1
99359022	280441002	116680003	272673000	0	0	0
3219067023	118960006	116680003	123014005	0	0	0
739214022	26864007	123005000	362608006	3	0	0
2510350023	408637006	246112005	272141005	1	2	0
609882024	281088000	123005000	256876008	3	0	0
2642550020	362962008	149016008	408767007	2	0	0
2842217024	49872002	116680003	36272005	0	0	0
2535432022	258442002	116680003	123038009	0	0	0
3051040025	78133002	425391005	37270008	0	1	1
2688206028	128997002	116680003	301226008	0	0	0
3165573023	73410007	263502005	288524001	1	2	0
200809027	32457005	116680003	91720002	0	0	0
1310114028	119270007	260870009	272125009	1	2	0
2850768020	418065000	116680003	29896003	0	0	0
2590490027	128139000	116676008	409774005	0	1	0
2547822022	48661000	116680003	280128006	0	0	0
60778022	243328000	116680003	243311003	0	0	0
2998207021	15387003	116680003	363664003	0	0	0
